fair id,judges/presenters
17042, 
17043, 
17044, 
18044, 
18045, 
18046, 
18047, 
18048,William Emslie  
18050, 
18051,George Mahon  
18052, 
18053,Aaron Watts Matthew Henigin  
18054, 
18055, 
18056, 
18058, 
18059, 
18060, 
18061,Eric Kommer David Huber  Eric Kommer 
18062, 
18063,Dolores Pyne Mercier  
18065,George Mahon  George Mahon 
18066, 
18067, 
18068, 
18069, 
18070, 
18071, 
18072, 
18073, 
18074, 
18075,Dolores Pyne Mercier  
18076, 
18077,Luke Parchment  Luke Parchment 
18078, 
18079,Tom McAndrew  
18080,Ryan Costanzo  
19077, 
19078, 
19079, 
19080, 
19081, 
19082,Cynthia Holland  
19083, 
19084,Chase Smith  
19085, 
19086, 
19087, 
19088, 
19089,Maura Mullahey Daniel Arevalo Lawrence Kerr Jeff McGee  
19090, 
19091,Thomas Lett  
20086, 
20087,David Huber  
20088,William Emslie Jay Stockley  Jay Stockley 
20089, 
20090,Tom McAndrew Jonathan Wetzel  
20091, 
20092, 
20093, 
20094,Vishal Patel  
20095,Matt Knitt  
20096, 
20097,Jay Stockley  Jay Stockley 
20098, 
20100,Manny Tsikalas  Manny Tsikalas 
20101, 
20102, 
20103, 
20104,Michael Van Poots Walter Sharp  
20107, 
20108, 
20109,MaureenFoley Matthew Henigin  
21109, 
21111, 
21112, 
21113,David Huber  
21115, 
21116,Benjamin Poole  
21117, 
21118, 
21119, 
21120,Michael Rasmussen  Michael Rasmussen 
21121, 
21122, 
21123, 
21124, 
21125, 
21126, 
21127,Tom McAndrew  
21128, 
21129, 
21130, 
21132, 
22131, 
22132,Loukas Papadopoulos  
22133, 
22134, 
22135, 
22136, 
22137, 
22138,Tom McAndrew  
22139, 
22140, 
22141, 
22142, 
22143,BOB ZINGA Megan Ancker Jarema Didoszak Benjamin Heineike Austin Kim Tom McAndrew James Duvall Alex Christie  BOB ZINGA James Duvall 
22144, 
22145, 
22146, 
22147, 
22148,Tom McAndrew Loukas Papadopoulos  
22149, 
22150, 
22151, 
22152, 
22153, 
22154, 
22155, 
22156, 
22157, 
22158, 
22159, 
22160, 
22161, 
22162, 
22163,Alan Ford  
22164, 
22165,Alan Ford  
22166, 
22167,Alan Ford  
22168, 
22170, 
22171, 
22172, 
22173,Alan Ford  
22174, 
22175,Alan Ford  
22176, 
22177, 
22178,Shannon Ristau  
22179, 
22180,MaureenFoley Aaron Watts  
22181, 
22182,Shannon Ristau  
22183, 
22184,Tom McAndrew  
22185, 
22186, 
22187, 
22188, 
22189, 
22190, 
22191, 
22192, 
22194,Andrew Thornburg  
22195,Tom McAndrew  
22196,Jarema Didoszak  
22198, 
22199, 
22200, 
22201, 
22202, 
22203, 
22204,Michael Rasmussen  Michael Rasmussen 
22205, 
22206, 
22207, 
22208, 
22209, 
22210, 
22211, 
22212,Andrew Vodopija  Andrew Vodopija 
22213,Erik Maddock  
22214, 
22215, 
22216, 
22217, 
22218, 
22219, 
22220,Kjell Tengesdal  Kjell Tengesdal 
22221,Daniel Guerrant  
22223, 
22224, 
22225, 
22226,Shannon Ristau  
22228, 
23207, 
23208, 
23209, 
23210,Joseph Muhitch  Joseph Muhitch 
23211, 
23212,Vishal Patel Evan Maki  
23213, 
23214, 
23215, 
23216,Cyntrica Eaton  
23217, 
23218, 
23219, 
23220, 
23221, 
23222, 
23223, 
23224, 
23225,George Mahon  
23226, 
23227, 
23229, 
23230, 
23231, 
23232, 
23234, 
23235, 
23237, 
23238, 
23239, 
23240, 
23241, 
23244, 
23245, 
23246, 
23247, 
23248, 
23250, 
23253, 
23254, 
23256, 
23257, 
23258, 
23259, 
23260, 
23261, 
23262, 
23263, 
23264, 
23265, 
24264,Martin Chernoff Scott Kraft  Martin Chernoff 
24267, 
24268, 
24269,Michael Lewis  
24270, 
24271, 
24272, 
24273, 
24274, 
24275, 
24276, 
24277, 
24278, 
24279,John Alsterda  
24280, 
24281, 
24282, 
25282, 
25283, 
25284, 
25286, 
25287, 
25288, 
25289, 
25290, 
25291, 
25292, 
25294, 
25295, 
25297, 
